gender,preference
boy,blue
boy,pink
boy,blue
boy,blue
girl,pink
boy,blue
girl,pink
boy,blue
girl,white
boy,white
boy,blue
boy,blue
girl,pink
girl,blue
girl,pink
girl,white
girl,pink
boy,pink
girl,blue
boy,blue
boy,white
boy,blue
girl,pink
girl,white
girl,white
boy,blue
boy,blue
boy,blue
boy,blue
boy,white
girl,blue
boy,white
girl,pink
girl,white
girl,white
boy,pink
boy,blue
girl,pink
boy,pink
boy,white
girl,white
boy,white
girl,white
boy,white
girl,blue
boy,white
boy,blue
boy,blue
girl,pink
girl,pink
girl,blue
boy,blue
girl,blue
girl,white
girl,pink
boy,white
girl,blue
boy,white
girl,white
girl,blue
girl,blue
girl,pink
boy,white
girl,pink
girl,pink
boy,blue
girl,pink
girl,pink
boy,pink
boy,white
girl,blue
girl,pink
boy,pink
girl,white
girl,white
girl,white
boy,white
boy,white
girl,white
girl,pink
boy,white
girl,white
girl,pink
girl,white
boy,white
girl,pink
girl,pink
boy,blue
boy,blue
boy,white
girl,pink
boy,blue
boy,white
girl,white
girl,blue
girl,pink
boy,blue
boy,pink
girl,pink
girl,white
boy,pink
boy,white
girl,white
boy,white
boy,blue
boy,white
girl,blue
girl,blue
boy,white
boy,blue
girl,white
girl,pink
girl,white
boy,blue
girl,blue
girl,white
boy,blue
boy,blue
boy,pink
boy,blue
girl,blue
boy,white
girl,pink
girl,pink
girl,pink
boy,white
boy,blue
boy,white
girl,blue
girl,white
boy,blue
girl,white
girl,blue
girl,white
girl,pink
boy,white
boy,blue
girl,pink
boy,white
girl,white
boy,pink
boy,white
boy,blue
girl,pink
girl,white
boy,white
girl,pink
boy,blue
boy,white
boy,white
boy,blue
boy,blue
boy,blue
girl,white
boy,blue
girl,pink
boy,blue
boy,white
girl,white
girl,blue
boy,blue
boy,white
girl,pink
girl,pink
boy,blue
girl,pink
boy,blue
boy,blue
boy,white
girl,pink
girl,pink
girl,blue
girl,white
boy,blue
boy,white
girl,pink
girl,pink
boy,pink
girl,pink
girl,pink
girl,pink
girl,pink
boy,white
girl,white
girl,pink
girl,pink
girl,pink
boy,white
girl,pink
boy,blue
girl,pink
girl,blue
girl,white
girl,pink
boy,white
boy,blue
girl,blue
girl,blue
girl,pink
boy,white
girl,white
girl,pink
boy,white
boy,blue
boy,blue
girl,pink
girl,white
girl,white
girl,blue
boy,blue
girl,pink
boy,white
girl,pink
girl,white
girl,blue
boy,pink
boy,white
boy,pink
girl,pink
girl,blue
boy,blue
boy,white
girl,white
girl,pink
boy,white
boy,white
girl,white
girl,pink
girl,white
girl,blue
boy,blue
boy,white
girl,white
boy,blue
girl,blue
girl,pink
girl,white
girl,white
boy,blue
girl,pink
girl,pink
girl,pink
boy,blue
boy,blue
girl,pink
girl,pink
boy,white
girl,pink
boy,blue
boy,blue
girl,pink
girl,pink
boy,blue
girl,pink
girl,white
boy,white
boy,blue
boy,white
girl,white
girl,blue
boy,pink
girl,blue
girl,pink
girl,blue
boy,white
boy,blue
girl,pink
girl,white
girl,pink
boy,blue
boy,white
girl,pink
girl,blue
girl,pink
girl,white
girl,pink
girl,blue
boy,white
girl,white
boy,white
boy,white
girl,pink
girl,pink
girl,white
girl,pink
girl,pink
girl,white
boy,blue
boy,white
girl,white
boy,white
boy,blue
girl,white
boy,blue
girl,pink
girl,white
boy,blue
girl,white
boy,blue
boy,blue
boy,blue
boy,blue
girl,pink
boy,blue
boy,blue
boy,blue
boy,white
boy,white
girl,white
boy,blue
boy,blue
boy,white
boy,white
girl,pink
girl,pink
boy,white
boy,blue
girl,pink
boy,white
boy,blue
girl,pink
boy,white
girl,pink
girl,blue
girl,pink
girl,pink
girl,white
boy,pink
boy,white
boy,blue
girl,pink
boy,white
boy,white
boy,pink
girl,white
boy,white
girl,pink
girl,pink
girl,pink
girl,white
boy,white
boy,blue
girl,pink
boy,blue
girl,pink
girl,white
boy,white
boy,white
girl,blue
girl,pink
boy,blue
boy,blue
girl,pink
boy,white
girl,pink
girl,white
boy,blue
boy,white
girl,white
girl,pink
girl,pink
boy,white
girl,white
girl,pink
boy,white
girl,white
boy,white
boy,white
girl,pink
girl,pink
boy,blue
boy,pink
boy,white
girl,pink
boy,blue
girl,white
girl,pink
boy,white
girl,white
boy,blue
boy,blue
girl,pink
boy,blue
girl,pink
girl,pink
girl,pink
girl,pink
girl,pink
girl,pink
boy,white
girl,pink
boy,white
girl,white
girl,pink
boy,blue
boy,blue
boy,white
girl,blue
boy,white
boy,white
boy,blue
boy,blue
girl,white
boy,blue
girl,pink
boy,white
girl,pink
girl,blue
girl,white
boy,blue
boy,white
girl,blue
girl,pink
girl,white
girl,pink
girl,pink
girl,blue
girl,blue
boy,white
boy,white
girl,pink
boy,white
girl,white
boy,blue
girl,pink
boy,blue
girl,pink
girl,pink
girl,pink
girl,pink
boy,white
girl,pink
boy,white
boy,white
boy,blue
boy,pink
boy,blue
boy,blue
boy,blue
girl,white
girl,pink
boy,white
boy,blue
girl,white
girl,pink
boy,white
girl,white
boy,white
girl,pink
boy,blue
girl,pink
boy,blue
boy,blue
boy,white
boy,blue
boy,blue
girl,white
girl,blue
girl,pink
boy,blue
boy,blue
girl,pink
boy,blue
boy,blue
girl,pink
girl,pink
girl,pink
boy,blue
boy,blue
girl,white
girl,pink
boy,blue
boy,white
girl,white
girl,pink
girl,white
girl,white
boy,blue
boy,blue
boy,white
girl,white
girl,pink
boy,white
boy,blue
boy,blue
boy,white
girl,pink
girl,white
boy,blue
boy,blue
boy,blue
boy,pink
girl,white
girl,pink
girl,pink
boy,blue
girl,pink
boy,blue
boy,white
boy,pink
